identifier,column_name,old_value,new_value,REV,user_id,revtstmp
1,CONSENTS_WAIVED,0.0,1,27,2,2025-07-02 11:05:01
1,LABEL_FORMAT,,%SYS_UID%,32,2,2025-07-02 11:23:01
1,DERIV_LABEL_FORMAT,,%SYS_UID%,32,2,2025-07-02 11:23:01
1,ALIQUOT_LABEL_FORMAT,,%SYS_UID%,32,2,2025-07-02 11:23:01
1,PPID_FORMAT,,%SYS_UID%,32,2,2025-07-02 11:23:01
1,VISIT_NAME_FORMAT,,%SYS_UID%,32,2,2025-07-02 11:23:01
1,SHORT_TITLE,bls,BS,37,2,2025-07-02 11:29:37
1,SHORT_TITLE,BS,BS1,55,2,2025-07-03 10:54:58
1,START_DATE,,2025-07-24 00:00:00,56,2,2025-07-03 11:41:33
1,SHORT_TITLE,BS1,BS101,57,2,2025-07-07 15:37:23
1,PRINCIPAL_INVESTIGATOR_ID,3.0,2,65,2,2025-07-08 12:47:24
1,Principal Investigator,Demo Institute Admin,System Administrator,65,2,2025-07-08 12:47:24
1,PRINCIPAL_INVESTIGATOR_ID,2.0,3,66,2,2025-07-08 12:47:30
1,Principal Investigator,System Administrator,Demo Institute Admin,66,2,2025-07-08 12:47:30
2,START_DATE,,2025-07-10 00:00:00,54,2,2025-07-03 10:51:33
2,END_DATE,,2025-07-12 00:00:00,54,2,2025-07-03 10:51:33
3,TITLE,Test_cp,Test_Study,59,2,2025-07-08 10:36:28
4,PRINCIPAL_INVESTIGATOR_ID,3.0,2,64,2,2025-07-08 12:37:57
4,Principal Investigator,Demo Institute Admin,System Administrator,64,2,2025-07-08 12:37:57
5,PRINCIPAL_INVESTIGATOR_ID,3.0,2,63,2,2025-07-08 12:32:28
5,Principal Investigator,Demo Institute Admin,System Administrator,63,2,2025-07-08 12:32:28
6,SHORT_TITLE,TS,TS1,68,2,2025-07-08 14:07:50
6,START_DATE,,2025-07-18 00:00:00,68,2,2025-07-08 14:07:50
6,PRINCIPAL_INVESTIGATOR_ID,3.0,2,69,2,2025-07-08 14:10:24
6,Principal Investigator,Demo Institute Admin,System Administrator,69,2,2025-07-08 14:10:24
6,PRINCIPAL_INVESTIGATOR_ID,2.0,3,70,2,2025-07-08 14:12:11
6,Principal Investigator,System Administrator,Demo Institute Admin,70,2,2025-07-08 14:12:11
6,PRINCIPAL_INVESTIGATOR_ID,3.0,2,71,2,2025-07-08 14:15:59
6,Principal Investigator,Demo Institute Admin,System Administrator,71,2,2025-07-08 14:15:59
6,PRINCIPAL_INVESTIGATOR_ID,2.0,3,72,2,2025-07-08 14:18:28
6,Principal Investigator,System Administrator,Demo Institute Admin,72,2,2025-07-08 14:18:28
6,PRINCIPAL_INVESTIGATOR_ID,3.0,2,73,2,2025-07-08 14:20:48
6,Principal Investigator,Demo Institute Admin,System Administrator,73,2,2025-07-08 14:20:48
7,END_DATE,2025-07-25 00:00:00,2025-07-29 00:00:00,75,2,2025-07-08 15:55:42
7,PRINCIPAL_INVESTIGATOR_ID,3.0,2,76,2,2025-07-08 15:56:25
7,Principal Investigator,Demo Institute Admin,System Administrator,76,2,2025-07-08 15:56:25
7,TITLE,Test_cp,Test_cp1,77,2,2025-07-08 16:01:03
7,SHORT_TITLE,TCP1,TCP12,77,2,2025-07-08 16:01:03
7,PRINCIPAL_INVESTIGATOR_ID,2.0,3,77,2,2025-07-08 16:01:03
7,Principal Investigator,System Administrator,Demo Institute Admin,77,2,2025-07-08 16:01:03
